"","ID","Sample","Dataset_description","Chip_ID","Series","Chip_description","PMID","Cell_description","Cell_type","Class"
"207","Hs.93.Endothelial_cells.HUVEC.Serum_Amyloid_A_48h.r1","Endothelial_cells:huvec.serum_amyloid_a.5","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143732","GSE6241","HUVEC S48h_1","n/a","Endothelial_cells","Endoth","Endoth"
"208","Hs.93.Endothelial_cells.HUVEC.Serum_Amyloid_A_48h.r2","Endothelial_cells:huvec.serum_amyloid_a.6","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143733","GSE6241","HUVEC S48h_2","n/a","Endothelial_cells","Endoth","Endoth"
"209","Hs.94.Endothelial_cells.lymphatic.cntrl_48h.r1","Endothelial_cells:lymphatic:cntrl_48h.1","human lymphatic endothelial cells","GSM143717","GSE6257","Human lymphatic endothelial cells Control_Rep 1","17116732","Endothelial_cells","Endoth","Endoth"
"210","Hs.94.Endothelial_cells.lymphatic.cntrl_48h.r2","Endothelial_cells:lymphatic:cntrl_48h.2","human lymphatic endothelial cells","GSM143898","GSE6257","Human lymphatic endothelial cells Control_Rep 2","17116732","Endothelial_cells","Endoth","Endoth"
"211","Hs.94.Endothelial_cells.lymphatic.cntrl_48h.r3","Endothelial_cells:lymphatic:cntrl_48h.3","human lymphatic endothelial cells","GSM143900","GSE6257","Human lymphatic endothelial cells Control_Rep 3","17116732","Endothelial_cells","Endoth","Endoth"
"212","Hs.94.Endothelial_cells.lymphatic.TNFa_48h.r1","Endothelial_cells:lymphatic:tnfa_48h.1","human lymphatic endothelial cells","GSM143907","GSE6257","Human lymphatic endothelial cells TNFalpha_Rep 1","17116732","Endothelial_cells","Endoth","Endoth"
"213","Hs.94.Endothelial_cells.lymphatic.TNFa_48h.r2","Endothelial_cells:lymphatic:tnfa_48h.2","human lymphatic endothelial cells","GSM143910","GSE6257","Human lymphatic endothelial cells TNFalpha_Rep 2","17116732","Endothelial_cells","Endoth","Endoth"
"214","Hs.94.Endothelial_cells.lymphatic.TNFa_48h.r3","Endothelial_cells:lymphatic:tnfa_48h.3","human lymphatic endothelial cells","GSM143914","GSE6257","Human lymphatic endothelial cells TNFalpha_Rep 3","17116732","Endothelial_cells","Endoth","Endoth"
"215","Hs.111.BM.Chondrocytes.MSC.derived.r1","Bm:chondrocytes:msc.derived.1","Native Mesenchymal Stem Cells","GSM239606","GSE9451","r1","19228201","Chondrocytes","chondro","chondro"
"216","Hs.111.BM.Chondrocytes.MSC.derived.r2","Bm:chondrocytes:msc.derived.2","Native Mesenchymal Stem Cells","GSM239612","GSE9451","r2","19228201","Chondrocytes","chondro","chondro"
"217","Hs.111.BM.Chondrocytes.MSC.derived.r3","Bm:chondrocytes:msc.derived.3","Native Mesenchymal Stem Cells","GSM239613","GSE9451","r3","19228201","Chondrocytes","chondro","chondro"
"218","Hs.51.BM.Chondrocytes.MSC.derived.monolayer.r1","Bm:chondrocytes:msc.derived.4","Gene expression profiles of monolayer cultures (ML; passage 2) and Hyaff.11 scaffold cultures (3D; 14 days in vitro) of chondrocytes from 3 normal donors","GSM413840","GSE16464","monolayer_r1","19723327","Chondrocytes","chondro","chondro"
"219","Hs.51.BM.Chondrocytes.MSC.derived.monolayer.r3","Bm:chondrocytes:msc.derived.5","Gene expression profiles of monolayer cultures (ML; passage 2) and Hyaff.11 scaffold cultures (3D; 14 days in vitro) of chondrocytes from 3 normal donors","GSM413842","GSE16464","monolayer_r3","19723327","Chondrocytes","chondro","chondro"
"220","Hs.51.BM.Chondrocytes.MSC.derived.3D.cultured.r1","Bm:chondrocytes:msc.derived.6","Gene expression profiles of monolayer cultures (ML; passage 2) and Hyaff.11 scaffold cultures (3D; 14 days in vitro) of chondrocytes from 3 normal donors","GSM413846","GSE16464","3D.cultured_r1","19723327","Chondrocytes","chondro","chondro"
"221","Hs.51.BM.Chondrocytes.MSC.derived.3D.cultured.r2","Bm:chondrocytes:msc.derived.7","Gene expression profiles of monolayer cultures (ML; passage 2) and Hyaff.11 scaffold cultures (3D; 14 days in vitro) of chondrocytes from 3 normal donors","GSM413847","GSE16464","3D.cultured_r2","19723327","Chondrocytes","chondro","chondro"
"222","Hs.51.BM.Chondrocytes.MSC.derived.3D.cultured.r3","Bm:chondrocytes:msc.derived.8","Gene expression profiles of monolayer cultures (ML; passage 2) and Hyaff.11 scaffold cultures (3D; 14 days in vitro) of chondrocytes from 3 normal donors","GSM413848","GSE16464","3D.cultured_r3","19723327","Chondrocytes","chondro","chondro"
"223","Hs.109.iliac_MSC.Osteoblasts.r1","Iliac_msc:osteoblasts.1","Native Mesenchymal Stem Cells","GSM239616","GSE9150","osteoblast_rep1","19228201","Osteoblasts","ostblast","ostblast"
"224","Hs.109.iliac_MSC.Osteoblasts.r2","Iliac_msc:osteoblasts.2","Native Mesenchymal Stem Cells","GSM239668","GSE9150","osteoblast_rep2","19228201","Osteoblasts","ostblast","ostblast"
"225","Hs.109.iliac_MSC.Osteoblasts.r3","Iliac_msc:osteoblasts.3","Native Mesenchymal Stem Cells","GSM239669","GSE9150","osteoblast_rep3","19228201","Osteoblasts","ostblast","ostblast"
"226","Hs.5.trabecular_bone.Osteoblasts.cntrl_2h.r1","Trabecular_bone:osteoblasts:cntrl.1","human primary osteoblast.like cells (HOb)","GSM260311","GSE10311","HOb514_untreated_2h_rep1","18334548","Osteoblasts","ostblast","ostblast"
"227","Hs.5.trabecular_bone.Osteoblasts.cntrl_2h.r2","Trabecular_bone:osteoblasts:cntrl.2","human primary osteoblast.like cells (HOb)","GSM260312","GSE10311","HOb514_untreated_2h_rep2","18334548","Osteoblasts","ostblast","ostblast"
"228","Hs.5.trabecular_bone.Osteoblasts.cntrl_2h.r3","Trabecular_bone:osteoblasts:cntrl.3","human primary osteoblast.like cells (HOb)","GSM260313","GSE10311","HOb514_untreated_2h_rep3","18334548","Osteoblasts","ostblast","ostblast"
"229","Hs.5.trabecular_bone.Osteoblasts.BMP2_2h.r1","Trabecular_bone:osteoblasts.bmp2.1","human primary osteoblast.like cells (HOb)","GSM260308","GSE10311","HOb514_BMP2_2h_rep1","18334548","Osteoblasts","ostblast","ostblast"
"230","Hs.5.trabecular_bone.Osteoblasts.BMP2_2h.r2","Trabecular_bone:osteoblasts.bmp2.2","human primary osteoblast.like cells (HOb)","GSM260309","GSE10311","HOb514_BMP2_2h_rep2","18334548","Osteoblasts","ostblast","ostblast"
"231","Hs.5.trabecular_bone.Osteoblasts.BMP2_2h.r3","Trabecular_bone:osteoblasts.bmp2.3","human primary osteoblast.like cells (HOb)","GSM260310","GSE10311","HOb514_BMP2_2h_rep3","18334548","Osteoblasts","ostblast","ostblast"
"232","Hs.5.trabecular_bone.Osteoblasts.BMP2_24h.r2","Trabecular_bone:osteoblasts.bmp2.4","human primary osteoblast.like cells (HOb)","GSM260321","GSE10311","HOb514_BMP2_24h_rep2","18334548","Osteoblasts","ostblast","ostblast"
"233","Hs.5.trabecular_bone.Osteoblasts.cntrl_24h.r1","Trabecular_bone:osteoblasts:cntrl.1","human primary osteoblast.like cells (HOb)","GSM260305","GSE10311","HOb514_untreated_24h_rep1","18334548","Osteoblasts","ostblast","ostblast"
"234","Hs.5.trabecular_bone.Osteoblasts.cntrl_24h.r2","Trabecular_bone:osteoblasts:cntrl.2","human primary osteoblast.like cells (HOb)","GSM260306","GSE10311","HOb514_untreated_24h_rep2","18334548","Osteoblasts","ostblast","ostblast"
"235","Hs.5.trabecular_bone.Osteoblasts.cntrl_24h.r3","Trabecular_bone:osteoblasts:cntrl.3","human primary osteoblast.like cells (HOb)","GSM260307","GSE10311","HOb514_untreated_24h_rep3","18334548","Osteoblasts","ostblast","ostblast"
"236","Hs.5.trabecular_bone.Osteoblasts.BMP2_24h.r1","Trabecular_bone:osteoblasts.bmp2.1","human primary osteoblast.like cells (HOb)","GSM260314","GSE10311","HOb514_BMP2_24h_rep1","18334548","Osteoblasts","ostblast","ostblast"
"237","Hs.5.trabecular_bone.Osteoblasts.BMP2_24h.r3","Trabecular_bone:osteoblasts.bmp2.2","human primary osteoblast.like cells (HOb)","GSM260322","GSE10311","HOb514_BMP2_24h_rep3","18334548","Osteoblasts","ostblast","ostblast"
"238","Hs.111.BM.Adipocyte.MSC.derived.r1","Tissue_stem_cells:iliac_msc.1","Native Mesenchymal Stem Cells","GSM239260","GSE9451","r1","19228201","Adipocytes","Adipo","Adipo"
"239","Hs.111.BM.Adipocyte.MSC.derived.r2","Tissue_stem_cells:iliac_msc.2","Native Mesenchymal Stem Cells","GSM239379","GSE9451","r2","19228201","Adipocytes","Adipo","Adipo"
"240","Hs.111.BM.Adipocyte.MSC.derived.r3","Tissue_stem_cells:iliac_msc.3","Native Mesenchymal Stem Cells","GSM239457","GSE9451","r3","19228201","Adipocytes","Adipo","Adipo"
"241","Hs.60.Hepatocytes.r1","Hepatocytes.1","Primary human hepatocytes","GSM456349","GSE18269","Primary hepatocyte, biological replicate 1","20228232","Hepatocytes","Hepato","Hepato"
"242","Hs.60.Hepatocytes.r2","Hepatocytes.2","Primary human hepatocytes","GSM456350","GSE18269","Primary hepatocyte, biological replicate 2","20228232","Hepatocytes","Hepato","Hepato"
"243","Hs.60.Hepatocytes.r3","Hepatocytes.3","Primary human hepatocytes","GSM456351","GSE18269","Primary hepatocyte, biological replicate 3","20228232","Hepatocytes","Hepato","Hepato"
"244","Hs.101.Keratinocytes.cntrl.r1","Keratinocytes:cntrl.1","Cytokine treated normal human epidermal keratinocytes","GSM173532","GSE7216","Untreated PRB11895 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"245","Hs.101.Keratinocytes.cntrl.r2","Keratinocytes:cntrl.2","Cytokine treated normal human epidermal keratinocytes","GSM173533","GSE7216","Untreated PRB11896 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"246","Hs.101.Keratinocytes.cntrl.r3","Keratinocytes:cntrl.3","Cytokine treated normal human epidermal keratinocytes","GSM173534","GSE7216","Untreated PRB11897 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"247","Hs.101.Keratinocytes.IL19.r1","Keratinocytes.il19.1","Cytokine treated normal human epidermal keratinocytes","GSM173535","GSE7216","Treated with IL19 PRB11898 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"248","Hs.101.Keratinocytes.IL19.r2","Keratinocytes.il19.2","Cytokine treated normal human epidermal keratinocytes","GSM173536","GSE7216","Treated with IL19 PRB11899 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"249","Hs.101.Keratinocytes.IL19.r3","Keratinocytes.il19.3","Cytokine treated normal human epidermal keratinocytes","GSM173537","GSE7216","Treated with IL19 PRB11900 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"250","Hs.101.Keratinocytes.IL20.r1","Keratinocytes.il20.1","Cytokine treated normal human epidermal keratinocytes","GSM173538","GSE7216","Treated with IL20 PRB11901 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"251","Hs.101.Keratinocytes.IL20.r2","Keratinocytes.il20.2","Cytokine treated normal human epidermal keratinocytes","GSM173539","GSE7216","Treated with IL20 PRB11902 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"252","Hs.101.Keratinocytes.IL20.r3","Keratinocytes.il20.3","Cytokine treated normal human epidermal keratinocytes","GSM173540","GSE7216","Treated with IL20 PRB11903 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"253","Hs.101.Keratinocytes.IL22.r1","Keratinocytes.il22.1","Cytokine treated normal human epidermal keratinocytes","GSM173541","GSE7216","Treated with IL22 PRB11904 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"254","Hs.101.Keratinocytes.IL22.r2","Keratinocytes.il22.2","Cytokine treated normal human epidermal keratinocytes","GSM173542","GSE7216","Treated with IL22 PRB11905 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"255","Hs.101.Keratinocytes.IL22.r3","Keratinocytes.il22.3","Cytokine treated normal human epidermal keratinocytes","GSM173543","GSE7216","Treated with IL22 PRB11906 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"256","Hs.101.Keratinocytes.IL24.r1","Keratinocytes.il24.1","Cytokine treated normal human epidermal keratinocytes","GSM173544","GSE7216","Treated with IL24 PRB11907 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"257","Hs.101.Keratinocytes.IL24.r2","Keratinocytes.il24.2","Cytokine treated normal human epidermal keratinocytes","GSM173545","GSE7216","Treated with IL24 PRB11908 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"258","Hs.101.Keratinocytes.IL24.r3","Keratinocytes.il24.3","Cytokine treated normal human epidermal keratinocytes","GSM173546","GSE7216","Treated with IL24 PRB11909 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"259","Hs.101.Keratinocytes.IL26.r1","Keratinocytes.il26.1","Cytokine treated normal human epidermal keratinocytes","GSM173547","GSE7216","Treated with IL26d PRB11910 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"260","Hs.101.Keratinocytes.IL26.r2","Keratinocytes.il26.2","Cytokine treated normal human epidermal keratinocytes","GSM173548","GSE7216","Treated with IL26d PRB11911 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"261","Hs.101.Keratinocytes.IL26.r3","Keratinocytes.il26.3","Cytokine treated normal human epidermal keratinocytes","GSM173549","GSE7216","Treated with IL26d PRB11912 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"262","Hs.101.Keratinocytes.KGF.r1","Keratinocytes.kgf.1","Cytokine treated normal human epidermal keratinocytes","GSM173550","GSE7216","Treated with KGF PRB11913 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"263","Hs.101.Keratinocytes.KGF.r2","Keratinocytes.kgf.2","Cytokine treated normal human epidermal keratinocytes","GSM173551","GSE7216","Treated with KGF PRB11914 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"264","Hs.101.Keratinocytes.KGF.r3","Keratinocytes.kgf.3","Cytokine treated normal human epidermal keratinocytes","GSM173552","GSE7216","Treated with KGF PRB11915 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"265","Hs.101.Keratinocytes.IFNg.r1","Keratinocytes.ifng.1","Cytokine treated normal human epidermal keratinocytes","GSM173553","GSE7216","Treated with IFNg PRB11916 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"266","Hs.101.Keratinocytes.IFNg.r2","Keratinocytes.ifng.2","Cytokine treated normal human epidermal keratinocytes","GSM173554","GSE7216","Treated with IFNg PRB11917 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"267","Hs.101.Keratinocytes.IL1b.r1","Keratinocytes.il1b.1","Cytokine treated normal human epidermal keratinocytes","GSM173555","GSE7216","Treated with IL1b PRB11919 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"268","Hs.101.Keratinocytes.IL1b.r2","Keratinocytes.il1b.2","Cytokine treated normal human epidermal keratinocytes","GSM173556","GSE7216","Treated with IL1b PRB11920 (HGU133P)","17277128","Keratinocytes","Kerat","Kerat"
"269","Hs.81.Neurones.adrenal_medulla_cell_line.r1","Adrenal_medulla_cell_line.1","SH.SY5Y/TrkA neuroblastoma cells","GSM53382","GSE2864","Human Cell Line, adrenal medulla: RNA612_le1","n/a","Neurones_1","Adr_med","Adr_med"
"270","Hs.81.Neurones.adrenal_medulla_cell_line.r2","Adrenal_medulla_cell_line.2","SH.SY5Y/TrkA neuroblastoma cells","GSM53383","GSE2864","Human Cell Line, adrenal medulla: RNA617_le1","n/a","Neurones_1","Adr_med","Adr_med"
"271","Hs.81.Neurones.adrenal_medulla_cell_line.r3","Adrenal_medulla_cell_line.3","SH.SY5Y/TrkA neuroblastoma cells","GSM53384","GSE2864","Human Cell Line, adrenal medulla: RNA613_le1","n/a","Neurones_1","Adr_med","Adr_med"
"272","Hs.81.Neurones.adrenal_medulla_cell_line.r4","Adrenal_medulla_cell_line.4","SH.SY5Y/TrkA neuroblastoma cells","GSM53385","GSE2864","Human Cell Line, adrenal medulla: RNA614_le1","n/a","Neurones_1","Adr_med","Adr_med"
"273","Hs.81.Neurones.adrenal_medulla_cell_line.r5","Adrenal_medulla_cell_line.5","SH.SY5Y/TrkA neuroblastoma cells","GSM53386","GSE2864","Human Cell Line, adrenal medulla: RNA615_le1","n/a","Neurones_1","Adr_med","Adr_med"
"274","Hs.81.Neurones.adrenal_medulla_cell_line.r6","Adrenal_medulla_cell_line.6","SH.SY5Y/TrkA neuroblastoma cells","GSM53387","GSE2864","Human Cell Line, adrenal medulla: RNA616_le1","n/a","Neurones_1","Adr_med","Adr_med"
"275","Hs.84.sural_nerve.Neurones.Schwann_cell.r1","Schwann_cell:sural_nerve.1","Schwann cells","GSM92231","GSE4030","Human Schwann cell RNA extracts 317 Passage 1_le1","n/a","Neurones_2","Shwann","Shwann"
"276","Hs.84.sural_nerve.Neurones.Schwann_cell.r2","Schwann_cell:sural_nerve.2","Schwann cells","GSM92232","GSE4030","Human Schwann cell RNA extracts 329 Passage 1_le1","n/a","Neurones_2","Shwann","Shwann"
"277","Hs.84.sural_nerve.Neurones.Schwann_cell.r3","Schwann_cell:sural_nerve.3","Schwann cells","GSM92233","GSE4030","Human Schwann cell RNA extracts 330 Passage 1_le1","n/a","Neurones_2","Shwann","Shwann"
"278","Hs.84.sural_nerve.Neurones.Schwann_cell.r4","Schwann_cell:sural_nerve.4","Schwann cells","GSM92234","GSE4030","Human Schwann cell RNA extracts 351 Passage 1_le1","n/a","Neurones_2","Shwann","Shwann"
"279","Hs.15.Smooth_muscle_cells.vascular.cntrl_6h.r1","Smooth_muscle_cells:vascular:cntrl.1","Effect of IL.17 on human vascular smooth muscle cells","GSM287216","GSE11367","Donor A Untreated VSMCs","19075290","Smooth_muscle_cells","SMC","SMC"
"280","Hs.15.Smooth_muscle_cells.vascular.IL.17_6h.r1","Smooth_muscle_cells:vascular.il.17_6h.1","Effect of IL.17 on human vascular smooth muscle cells","GSM287217","GSE11367","Donor A IL.17.treated VSMCs","19075290","Smooth_muscle_cells","SMC","SMC"
"281","Hs.15.Smooth_muscle_cells.vascular.cntrl_6h.r2","Smooth_muscle_cells:vascular:cntrl.1","Effect of IL.17 on human vascular smooth muscle cells","GSM287218","GSE11367","Donor B Untreated VSMCs","19075290","Smooth_muscle_cells","SMC","SMC"
"282","Hs.15.Smooth_muscle_cells.vascular.IL.17_6h.r2","Smooth_muscle_cells:vascular.il.17_6h.1","Effect of IL.17 on human vascular smooth muscle cells","GSM287219","GSE11367","Donor B IL.17.treated VSMCs","19075290","Smooth_muscle_cells","SMC","SMC"
"283","Hs.15.Smooth_muscle_cells.vascular.cntrl_6h.r3","Smooth_muscle_cells:vascular:cntrl.1","Effect of IL.17 on human vascular smooth muscle cells","GSM287220","GSE11367","Donor C Untreated VSMCs","19075290","Smooth_muscle_cells","SMC","SMC"
"284","Hs.15.Smooth_muscle_cells.vascular.IL.17_6h.r3","Smooth_muscle_cells:vascular.il.17_6h.1","Effect of IL.17 on human vascular smooth muscle cells","GSM287222","GSE11367","Donor C IL.17.treated VSMCs","19075290","Smooth_muscle_cells","SMC","SMC"
"285","Hs.33.Smooth_muscle_cells.vascular.cntrl_24h.r1","Smooth_muscle_cells:vascular:cntrl.1","smooth muscle cells","GSM346959","GSE13791","Smooth muscle cells uninfected control, 24 hours, biological rep 1","n/a","Smooth_muscle_cells","SMC","SMC"
"286","Hs.33.Smooth_muscle_cells.vascular.cntrl_24h.r2","Smooth_muscle_cells:vascular:cntrl.2","smooth muscle cells","GSM346960","GSE13791","Smooth muscle cells uninfected control, 24 hours, biological rep 2","n/a","Smooth_muscle_cells","SMC","SMC"
"287","Hs.68.Smooth_muscle_cells.umbilical_vein.serum_free_48h.r1","Smooth_muscle_cells:umbilical_vein:serum_free_48h.1","Human Umbilical Vein Smooth Muscle Cells","GSM492834","GSE19735","Human Umbilical Vein Smooth Muscle Cells_1","n/a","Smooth_muscle_cells","SMC","SMC"
"288","Hs.68.Smooth_muscle_cells.umbilical_vein.serum_free_48h.r2","Smooth_muscle_cells:umbilical_vein:serum_free_48h.2","Human Umbilical Vein Smooth Muscle Cells","GSM492835","GSE19735","Human Umbilical Vein Smooth Muscle Cells_2","n/a","Smooth_muscle_cells","SMC","SMC"
"289","Hs.87.Smooth_muscle_cells.bronchial.vit_D_24h.r1","Smooth_muscle_cells:bronchial:vit_d_24h.1","Human primary bronchial smooth muscle cells ./. Vitamin D","GSM116101","GSE5145","hBSMC_vitamin D_rep1","17213369","Smooth_muscle_cells","SMC","SMC"
"290","Hs.87.Smooth_muscle_cells.bronchial.vit_D_24h.r2","Smooth_muscle_cells:bronchial:vit_d_24h.2","Human primary bronchial smooth muscle cells ./. Vitamin D","GSM116102","GSE5145","hBSMC_vitamin D_rep2","17213369","Smooth_muscle_cells","SMC","SMC"
"291","Hs.87.Smooth_muscle_cells.bronchial.vit_D_24h.r3","Smooth_muscle_cells:bronchial:vit_d_24h.3","Human primary bronchial smooth muscle cells ./. Vitamin D","GSM116103","GSE5145","hBSMC_vitamin D_rep3","17213369","Smooth_muscle_cells","SMC","SMC"
"292","Hs.87.Smooth_muscle_cells.bronchial.cntrl_24h.r1","Smooth_muscle_cells:bronchial:cntrl_24h.1","Human primary bronchial smooth muscle cells ./. Vitamin D","GSM116104","GSE5145","hBSMC_control_rep1","17213369","Smooth_muscle_cells","SMC","SMC"
"293","Hs.87.Smooth_muscle_cells.bronchial.cntrl_24h.r2","Smooth_muscle_cells:bronchial:cntrl_24h.2","Human primary bronchial smooth muscle cells ./. Vitamin D","GSM116105","GSE5145","hBSMC_control_rep2","17213369","Smooth_muscle_cells","SMC","SMC"
"294","Hs.87.Smooth_muscle_cells.bronchial.cntrl_24h.r3","Smooth_muscle_cells:bronchial:cntrl_24h.3","Human primary bronchial smooth muscle cells ./. Vitamin D","GSM116106","GSE5145","hBSMC_control_rep3","17213369","Smooth_muscle_cells","SMC","SMC"
"295","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r1","Hematopoietic_stem_cell:.g.csf.1","Hematopoietic stem cell mobilization with G.CSF","GSM178549","GSE7400","peripheral blood.G.CSF_r1","17761290","Bone_marrow_._progenitors","HSC","HSC"
"296","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r2","Hematopoietic_stem_cell:.g.csf.2","Hematopoietic stem cell mobilization with G.CSF","GSM178550","GSE7400","peripheral blood.G.CSF_r2","17761290","Bone_marrow_._progenitors","HSC","HSC"
"297","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r3","Hematopoietic_stem_cell:.g.csf.3","Hematopoietic stem cell mobilization with G.CSF","GSM178551","GSE7400","peripheral blood.G.CSF_r3","17761290","Bone_marrow_._progenitors","HSC","HSC"
"298","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r4","Hematopoietic_stem_cell:.g.csf.4","Hematopoietic stem cell mobilization with G.CSF","GSM178552","GSE7400","peripheral blood.G.CSF_r4","17761290","Bone_marrow_._progenitors","HSC","HSC"
"299","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r5","Hematopoietic_stem_cell:.g.csf.5","Hematopoietic stem cell mobilization with G.CSF","GSM178553","GSE7400","peripheral blood.G.CSF_r5","17761290","Bone_marrow_._progenitors","HSC","HSC"
"300","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r1","Hematopoietic_stem_cell:.g.csf.1","Hematopoietic stem cell mobilization with G.CSF","GSM178554","GSE7400","peripheral blood.G.CSF_r1","17761290","Bone_marrow_._progenitors","HSC","HSC"
"301","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r2","Hematopoietic_stem_cell:.g.csf.2","Hematopoietic stem cell mobilization with G.CSF","GSM178555","GSE7400","peripheral blood.G.CSF_r2","17761290","Bone_marrow_._progenitors","HSC","HSC"
"302","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r3","Hematopoietic_stem_cell:.g.csf.3","Hematopoietic stem cell mobilization with G.CSF","GSM178556","GSE7400","peripheral blood.G.CSF_r3","17761290","Bone_marrow_._progenitors","HSC","HSC"
"303","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r4","Hematopoietic_stem_cell:.g.csf.4","Hematopoietic stem cell mobilization with G.CSF","GSM178557","GSE7400","peripheral blood.G.CSF_r4","17761290","Bone_marrow_._progenitors","HSC","HSC"
"304","Hs.102.PB.BM_.Prog..HSC._.G.CSF.r5","Hematopoietic_stem_cell:.g.csf.5","Hematopoietic stem cell mobilization with G.CSF","GSM178558","GSE7400","peripheral blood.G.CSF_r5","17761290","Bone_marrow_._progenitors","HSC","HSC"
"305","Hs.17.BM_.Prog..BM.2_months","Bone_marrow:fetal.1","Age.related expression data from composite bone marrow from healthy humans","GSM289612","GSE11504","2 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"306","Hs.17.BM_.Prog..BM.3_months","Bone_marrow:fetal.2","Age.related expression data from composite bone marrow from healthy humans","GSM289613","GSE11504","3 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"307","Hs.17.BM_.Prog..BM.9_months","Bone_marrow:fetal.3","Age.related expression data from composite bone marrow from healthy humans","GSM289614","GSE11504","9 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"308","Hs.17.BM_.Prog..BM.20_months","Bone_marrow:fetal.4","Age.related expression data from composite bone marrow from healthy humans","GSM289615","GSE11504","20 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"309","Hs.17.BM_.Prog..BM.23_months","Bone_marrow:fetal.5","Age.related expression data from composite bone marrow from healthy humans","GSM289616","GSE11504","23 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"310","Hs.17.BM_.Prog..BM.32_months","Bone_marrow:fetal.6","Age.related expression data from composite bone marrow from healthy humans","GSM289617","GSE11504","32 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"311","Hs.17.BM_.Prog..BM.39_months","Bone_marrow:fetal.7","Age.related expression data from composite bone marrow from healthy humans","GSM289618","GSE11504","39 months","20121553","Bone_marrow_._progenitors","HSC","HSC"
"312","Hs.66.BM_.Prog..HSC_CD34..r1","Hematopoietic_stem_cell:cd34..1","bone marrow CD34. cells from healthy controls","GSM483480","GSE19429","r1","20220779","Bone_marrow_._progenitors","HSC","HSC"
"313","Hs.66.BM_.Prog..HSC_CD34..r2","Hematopoietic_stem_cell:cd34..2","bone marrow CD34. cells from healthy controls","GSM483481","GSE19429","r2","20220779","Bone_marrow_._progenitors","HSC","HSC"
"314","Hs.66.BM_.Prog..HSC_CD34..r3","Hematopoietic_stem_cell:cd34..3","bone marrow CD34. cells from healthy controls","GSM483482","GSE19429","r3","20220779","Bone_marrow_._progenitors","HSC","HSC"
"315","Hs.66.BM_.Prog..HSC_CD34..r4","Hematopoietic_stem_cell:cd34..4","bone marrow CD34. cells from healthy controls","GSM483483","GSE19429","r4","20220779","Bone_marrow_._progenitors","HSC","HSC"
"316","Hs.66.BM_.Prog..HSC_CD34..r5","Hematopoietic_stem_cell:cd34..5","bone marrow CD34. cells from healthy controls","GSM483484","GSE19429","r5","20220779","Bone_marrow_._progenitors","HSC","HSC"
"317","Hs.66.BM_.Prog..HSC_CD34..r6","Hematopoietic_stem_cell:cd34..6","bone marrow CD34. cells from healthy controls","GSM483485","GSE19429","r6","20220779","Bone_marrow_._progenitors","HSC","HSC"
"318","Hs.67.BM_.Prog..CMP.r1","Common_myeloid_progenitor.1","Expression data for normal flow sorted hematopietic cell subpopulations","GSM488968","GSE19599","r1","20211010","Bone_marrow_._progenitors","HSC","HSC"
"319","Hs.67.BM_.Prog..CMP.r2","Common_myeloid_progenitor.2","Expression data for normal flow sorted hematopietic cell subpopulations","GSM488969","GSE19599","r2","20211010","Bone_marrow_._progenitors","HSC","HSC"
